,CellID,ClusterID,ClusterName,Region,Total_molecules,Valid,X,Y,_tSNE_1,_tSNE_2,size_pix,size_um2
119,6372,18,Inhibitory CP,Layer 6,426,1,2074.549192976203,34267.696605317484,-64.0429458618164,-0.850193977355957,31465.0,132.93962500000004
121,2233,18,Inhibitory CP,Layer 6,375,1,14342.00382970694,27532.929023872468,-61.17024230957031,-3.965515375137329,31686.0,133.87335000000002
122,7383,18,Inhibitory CP,Layer 6,149,1,0.0,35517.6325537358,-64.7558822631836,1.0294002294540405,17524.0,74.0389
123,5877,18,Inhibitory CP,Layer 4,183,1,4082.447754500761,41511.01477310233,-61.14958572387695,5.516458988189697,15929.0,67.30002500000002
126,5806,18,Inhibitory CP,Layer 2-3 medial,186,1,1005.4689225096045,44609.621077472824,-67.92153930664062,3.1875967979431152,16068.0,67.88730000000001
127,6722,18,Inhibitory CP,Layer 2-3 medial,186,1,1005.4689225096045,44609.621077472824,-67.92156982421875,3.187588930130005,16068.0,67.88730000000001
128,3699,18,Inhibitory CP,Layer 4,480,1,9945.458173758203,38609.49653062505,-59.95746994018555,0.5402204394340515,52736.0,222.80960000000002
129,3877,18,Inhibitory CP,Layer 6,227,1,10250.759721196833,31080.65713366808,-36.03282165527344,11.864727020263672,32951.0,139.21797499999997
131,2187,18,Inhibitory CP,Layer 5,152,1,15605.380463518144,29312.86299197008,-63.13726806640625,-2.628925323486328,21962.0,92.78945000000002
132,5231,18,Inhibitory CP,Layer 6,258,1,5793.365975372773,31554.095442883794,-52.570274353027344,0.5212727785110474,33300.0,140.69250000000002
135,2148,18,Inhibitory CP,Layer 5,189,1,16622.707190987807,28840.741278706842,-59.6103630065918,-3.0184059143066406,22703.0,95.920175
136,809,18,Inhibitory CP,Layer 6,162,1,17354.088002297933,22968.22734598092,-57.78388214111328,11.256729125976562,26532.0,112.09770000000002
139,3583,18,Inhibitory CP,Layer 2-3 medial,157,1,12499.736346755788,37853.358383512415,-61.65458679199219,7.763122081756592,19256.0,81.35660000000003
140,2076,18,Inhibitory CP,Layer 6,239,1,13681.238314254377,30562.44993930585,-63.24513626098633,1.4057010412216187,24366.0,102.94635000000002
141,3803,18,Inhibitory CP,Layer 4,273,1,12358.726696698963,33802.6333899976,-60.93585968017578,-0.5120899677276611,33181.0,140.189725
143,5681,18,Inhibitory CP,Layer 2-3 medial,396,1,3823.7903481310095,45174.42591594429,-67.0258560180664,1.0690078735351562,58073.0,245.358425
144,4031,18,Inhibitory CP,Layer 6,223,1,11423.317315228327,28857.231568314648,-68.50209045410156,-1.004113793373108,28377.0,119.89282499999999
146,800,18,Inhibitory CP,Layer 6,302,1,17566.223811468823,25440.638628132674,-60.06175231933594,-1.9164515733718872,29482.0,124.56145000000002
147,4055,18,Inhibitory CP,Layer 6,222,1,10956.437274074071,30242.676494324845,-62.76612091064453,-0.6150853633880615,28490.0,120.37024999999998
149,2098,18,Inhibitory CP,Layer 5,312,1,13252.63731390649,31563.875938161258,-71.21955108642578,1.9664337635040283,28993.0,122.49542500000001
151,3908,18,Inhibitory CP,Layer 5,415,1,9476.431352190522,33206.0393402652,-52.59938430786133,-1.4008557796478271,56630.0,239.26175
154,3915,18,Inhibitory CP,Layer 6,274,1,9297.872457979322,31276.360684452826,-35.24968719482422,11.727168083190918,39357.0,166.283325
156,3987,18,Inhibitory CP,Layer 6,495,1,12436.039468453093,28826.895257855507,-62.010562896728516,-1.8029663562774658,45329.0,191.51502500000004
157,4625,18,Inhibitory CP,Layer 2-3 medial,184,1,6079.79200567877,45397.37952476559,-64.39640045166016,6.828793048858643,17672.0,74.66420000000001
158,7363,18,Inhibitory CP,Layer 5,211,1,403.26102233399797,37426.56453508832,-62.29616928100586,1.6585098505020142,21251.0,89.785475
160,5155,18,Inhibitory CP,Layer 6,357,1,7546.690087575942,32467.37683061675,-64.62359619140625,3.8186683654785156,42807.0,180.85957500000004
161,4735,18,Inhibitory CP,Layer 4,34,1,7782.16494984378,38885.55263351553,-55.82997512817383,3.943671703338623,4330.0,18.29425000000001
163,6071,18,Inhibitory CP,Layer 4,536,1,4703.824176003509,37976.81507711264,-71.51798248291016,-0.3804451525211334,54368.0,229.70480000000003
164,5061,18,Inhibitory CP,Layer 4,508,1,4707.203142719944,37976.45054289739,-71.50099182128906,-0.359382688999176,52829.0,223.20252500000004
165,7653,18,Inhibitory CP,Layer 6,410,1,566.953872488717,34516.67626417579,-64.19862365722656,-0.4074171185493469,35946.0,151.87185
166,3874,18,Inhibitory CP,Layer 5,235,1,10346.142556869623,33854.67466162557,-53.02984619140625,-0.4038202464580536,33965.0,143.50212499999998
167,2509,18,Inhibitory CP,Layer 6,359,1,13418.468216173082,26219.4294300602,-62.69561004638672,1.1533869504928589,45061.0,190.38272499999997
168,6187,18,Inhibitory CP,Layer 5,95,1,1490.3858070406677,36297.07589072618,-62.82093811035156,4.678524017333984,10075.0,42.566875
170,723,17,Inhibitory Crhbp,Layer 5,343,1,16953.385058985034,27901.145862915655,-80.7267074584961,-1.7120050191879272,40575.0,171.42937500000002
171,6097,17,Inhibitory Crhbp,Layer 4,116,1,3987.3140370253896,38306.87089153101,-74.94146728515625,-3.4654359817504883,15138.0,63.95805
172,4613,17,Inhibitory Crhbp,Layer 2-3 medial,639,1,6408.280452307961,42995.06296375612,-83.0378646850586,-2.983515977859497,64375.0,271.98437500000006
173,3706,17,Inhibitory Crhbp,Layer 4,251,1,9782.970938248269,38868.675633802864,-82.47348022460938,-2.608365535736084,22248.0,93.99780000000003
174,5670,17,Inhibitory Crhbp,Layer 2-3 medial,586,1,4076.8535644691838,44235.12432158271,-71.99404907226562,-4.143952369689941,42997.0,181.662325
176,5281,17,Inhibitory Crhbp,Layer 6,441,1,4714.204821812829,32037.75908650573,-78.78490447998047,-1.9875720739364624,51646.0,218.20435
177,4218,17,Inhibitory Crhbp,Layer 6,212,1,11514.525264242315,27171.254867645446,-73.37877655029297,-1.579039454460144,20986.0,88.66585
178,56,17,Inhibitory Crhbp,Layer 2-3 lateral,412,1,20809.416091714997,34629.09397608827,-79.9135513305664,0.6718190908432007,52399.0,221.38577500000002
179,2169,17,Inhibitory Crhbp,Layer 6,265,1,16081.239199581665,26744.701006494695,-84.73421478271484,-1.2801408767700195,21611.0,91.30647500000002
